Test Name,srthsht
Engineer,
Location,
Test Info,


Time,Elapsed Time,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,Event
2021-10-21 12:36:06,00:00:24,0.001415,0.004634,4.223021,0.002381,0.003669,4.238793,0.010750,-0.003735,4.228171,-0.004379,0.007531,4.238793,
2021-10-21 12:36:06,00:00:24,-0.002447,0.005922,4.222377,0.004312,0.001094,4.242013,0.006566,-0.003091,4.230746,-0.002125,0.007853,4.235252,
2021-10-21 12:36:06,00:00:24,-0.002125,0.004956,4.223664,0.004956,0.000128,4.242656,0.006244,0.001415,4.224952,0.000772,0.006244,4.237184,
2021-10-21 12:36:07,00:00:24,-0.001160,0.003669,4.219480,0.006888,-0.002125,4.242978,-0.002125,0.004312,4.224308,0.002703,0.004312,4.237506,
2021-10-21 12:36:07,00:00:25,0.002703,0.001415,4.224630,0.005278,-0.000516,4.242334,-0.000194,0.004634,4.222377,0.005278,0.002381,4.238150,
2021-10-21 12:36:07,00:00:25,0.005278,-0.001160,4.225918,0.004956,0.000128,4.241368,-0.006954,0.009785,4.217227,0.008819,-0.003413,4.239759,
2021-10-21 12:36:07,00:00:25,0.002703,0.001415,4.226240,0.001737,0.001737,4.235896,-0.000194,0.004956,4.217870,0.007210,-0.000194,4.243622,
2021-10-21 12:36:07,00:00:25,0.003669,0.000128,4.229458,0.001415,0.002059,4.235574,0.001415,0.002381,4.221411,0.003669,-0.001803,4.243300,
2021-10-21 12:36:08,00:00:25,0.003669,0.000450,4.223986,0.002381,0.003025,4.235252,0.003991,0.001094,4.221411,0.003991,-0.000516,4.241368,
2021-10-21 12:36:08,00:00:26,0.001415,0.001415,4.224630,0.002059,0.004312,4.236862,0.006244,0.000772,4.223021,0.000450,0.000128,4.239437,
2021-10-21 12:36:08,00:00:26,0.001415,0.003025,4.225918,0.001737,0.004312,4.238793,0.006888,-0.001482,4.225918,0.000450,0.003991,4.239437,
2021-10-21 12:36:08,00:00:26,0.001094,0.004634,4.224630,0.004312,0.001737,4.242013,0.005922,-0.002125,4.228171,-0.001160,0.005600,4.238472,
2021-10-21 12:36:08,00:00:26,0.000128,0.003669,4.223664,0.004312,0.000128,4.238793,0.005278,-0.000838,4.227205,0.002059,0.005600,4.238472,
2021-10-21 12:36:09,00:00:26,-0.000516,0.003025,4.217870,0.004956,-0.000838,4.240725,0.002703,0.001415,4.226562,0.001094,0.005278,4.238472,
2021-10-21 12:36:09,00:00:27,0.001094,0.002703,4.219158,0.005600,-0.000838,4.242013,0.000128,0.002381,4.223021,0.003347,0.003669,4.239437,
2021-10-21 12:36:09,00:00:27,0.003025,0.002703,4.223342,0.005600,-0.000194,4.243622,-0.001160,0.003669,4.218514,0.004956,-0.001160,4.241691,
2021-10-21 12:36:09,00:00:27,0.003669,0.000128,4.228171,0.003347,0.001737,4.240725,-0.002125,0.004956,4.218514,0.006566,-0.001160,4.241368,
2021-10-21 12:36:09,00:00:27,0.006566,-0.002125,4.229780,0.000772,0.003025,4.237506,0.001737,0.006888,4.217548,0.004956,-0.002769,4.243944,
2021-10-21 12:36:10,00:00:27,0.005278,-0.002447,4.226240,-0.000838,0.004634,4.235896,0.002381,0.004956,4.218836,0.006888,-0.004057,4.243944,
2021-10-21 12:36:10,00:00:28,0.002381,0.000128,4.223342,-0.001482,0.004312,4.238150,0.006566,0.000772,4.221411,0.002059,-0.000194,4.242978,
2021-10-21 12:36:10,00:00:28,0.000128,0.001094,4.223021,0.000450,0.003025,4.239115,0.007210,-0.001482,4.226240,0.001094,0.001737,4.238150,
2021-10-21 12:36:10,00:00:28,0.000128,0.002381,4.223986,0.001415,0.003025,4.241046,0.008175,-0.002447,4.226562,0.000450,0.005600,4.239115,
2021-10-21 12:36:11,00:00:28,-0.001803,0.005600,4.221089,0.005278,0.002381,4.235896,0.006888,-0.004700,4.233321,-0.000838,0.006888,4.237506,
2021-10-21 12:36:11,00:00:29,-0.002125,0.006566,4.220446,0.005922,-0.000194,4.239759,0.004634,-0.003735,4.229458,-0.000516,0.009785,4.237506,
2021-10-21 12:36:11,00:00:29,-0.000516,0.004312,4.223986,0.007210,-0.001803,4.240403,0.000772,0.001094,4.224630,0.003991,0.004312,4.238472,
2021-10-21 12:36:11,00:00:29,0.002059,0.002381,4.224308,0.004956,0.000772,4.240081,0.002059,0.004312,4.219480,0.006244,0.001737,4.240403,
2021-10-21 12:36:11,00:00:29,0.001737,0.001094,4.223342,0.003669,0.002059,4.240725,-0.001160,0.006566,4.221089,0.003991,-0.000838,4.241368,
2021-10-21 12:36:12,00:00:29,0.003669,-0.000194,4.227527,0.000772,0.001415,4.240081,0.001415,0.004956,4.219802,0.006566,-0.003735,4.241691,
2021-10-21 12:36:12,00:00:30,0.003347,-0.001160,4.224952,-0.000838,0.003347,4.234287,0.003669,0.002059,4.220767,0.006244,-0.000516,4.242013,
2021-10-21 12:36:12,00:00:30,0.002703,0.001737,4.222699,-0.000194,0.004312,4.235896,0.006566,0.002059,4.223021,0.001415,0.001737,4.242013,
2021-10-21 12:36:12,00:00:30,0.001415,0.003347,4.223986,0.001415,0.003347,4.237506,0.005278,-0.003413,4.225918,-0.000194,0.003347,4.240725,
2021-10-21 12:36:12,00:00:30,0.000450,0.002703,4.224630,0.002703,0.002703,4.238472,0.006888,-0.004379,4.223986,0.000772,0.003991,4.238150,
2021-10-21 12:36:13,00:00:30,-0.001482,0.003669,4.225596,0.005600,0.001737,4.240081,0.005922,-0.002125,4.224630,0.000450,0.006888,4.236862,
2021-10-21 12:36:13,00:00:31,-0.001160,0.005922,4.224952,0.006888,0.000450,4.240403,0.003025,0.002381,4.221411,0.000450,0.005278,4.239115,
2021-10-21 12:36:13,00:00:31,0.000772,0.002059,4.226240,0.004956,-0.000194,4.239437,-0.001160,0.003669,4.224630,0.005278,0.002703,4.241046,
2021-10-21 12:36:13,00:00:31,0.002059,0.002059,4.223986,0.004956,-0.000838,4.238472,0.001415,0.005922,4.220446,0.005278,0.001094,4.240403,
2021-10-21 12:36:13,00:00:31,0.003991,0.000450,4.223664,0.004634,-0.000194,4.239759,-0.000516,0.005600,4.221089,0.005600,0.000450,4.240081,
2021-10-21 12:36:14,00:00:31,0.004956,0.001094,4.227205,0.002059,0.002059,4.239759,0.000772,0.007853,4.217227,0.005922,-0.001803,4.242978,
2021-10-21 12:36:14,00:00:32,0.004634,0.001094,4.228493,0.000772,0.003347,4.236218,0.000128,0.002703,4.219480,0.006888,-0.004700,4.244266,
2021-10-21 12:36:14,00:00:32,0.003347,0.000128,4.225596,-0.001803,0.005600,4.234287,0.004956,-0.000194,4.221733,0.002059,0.002381,4.243944,
2021-10-21 12:36:14,00:00:32,0.002059,0.000128,4.225918,-0.000194,0.004956,4.236540,0.005278,-0.001160,4.225918,0.001094,0.001737,4.241691,
2021-10-21 12:36:14,00:00:32,0.000772,0.001737,4.223021,0.001737,0.003991,4.241368,0.005600,0.000772,4.223664,0.002703,0.002703,4.241691,
2021-10-21 12:36:15,00:00:32,-0.000838,0.003347,4.221733,0.003347,0.003025,4.241368,0.006244,-0.002125,4.229136,-0.001160,0.005922,4.238472,
2021-10-21 12:36:15,00:00:33,-0.002447,0.004634,4.225596,0.004312,0.000450,4.243300,0.003991,-0.001482,4.226240,0.001415,0.006244,4.238472,
2021-10-21 12:36:15,00:00:33,-0.000194,0.003669,4.223342,0.007210,-0.001160,4.243300,0.000450,0.002703,4.228815,0.001094,0.005922,4.240725,
2021-10-21 12:36:15,00:00:33,0.001415,0.003347,4.222377,0.004634,-0.001160,4.241046,0.000450,0.004312,4.224630,0.005278,0.003669,4.241046,
2021-10-21 12:36:15,00:00:33,0.003347,0.003347,4.224952,0.005600,-0.001160,4.245553,-0.003735,0.009141,4.220767,0.003991,0.001415,4.241368,
2021-10-21 12:36:16,00:00:33,0.002381,0.000772,4.226240,0.001415,0.001094,4.242978,-0.000516,0.005278,4.218192,0.007210,-0.001482,4.243944,
